informal	formal
emaill	email
ngasih	memberikan
lagisaya	lagi saya
ditf	ditransfer
ribusaya	ribu saya
refundjgn	refund jgn
nyesel	menyesal
initp	ini tapi
kl	kuala lumpur
meningat	mengingat
bsokny	besoknya
akhirny	akhirnya
treveloka	traveloka
malakukan	melakukan
wlau	walau
sbenarny	sebenarnya
mw	mau
deliveryorder	delivery order
normalsaya	normal saya
diskonsudah	diskon sudah
aplikasikomplain	aplikasi komplain
emaildisuruh	email disuruh
orderankata	orderan kata
updateah	update ah
creditsementra	kredit sementara
samapeswat	sama pesawat
banksemntra	bank sementara
creditalasan	kredit alasan
maskapaitapi	maskapai tapi
bedasaya	beda saya
hotelapartment	hotel apartment
ulangrefund	ulang refund
pembatalankehilangan	pembatalan kehilangan
dsb	dan sebagainya
pake	menggunakan
pembayarsn	pembayaran
boking	booking
melelui	melalui
penuhtanpa	penuh tanpa
credit	kredit
sm	sama
imel	email
klem	klaim
trima	terima
cust	pelanggan
thd	terhadap
transakasi	transaksi
travelpaylatter	travelpaylater
syaa	saya
servicetidak	service tidak
wabahhubungannya	wabah hubungannya
webkalau	web kalau
refundsoalnya	refund soalnya
xsya	saya
beberpaa	beberapa
baikke	baik ke
nyakrn	nya karena
bwt	buat
sayasemoga	saya semoga
sperti	seperti
lagiok	lagi ok
travelo	traveloka
diaplikasai	di aplikasi
jawabbener	jawab benar
travelokatukang	traveloka tukang
iklanya	iklannya
jawabudah	jawab sudah
baget	sangat
pelayananya	pelayanannya
memberikan	mbrikan
kluar	keluar
myesatkn	menyesatkan
dikatakn	dikatakan
jadwalenak	jadwal enak
bilank	bilang
cm	hanya
ditransfr	ditransfer
doankssdh	doang sudah
bkn	bukan
perantarabknnya	perantara bukannya
bntu	bantu
cr	cari
ud	sudah
smp	sampai
bln	bulan
dpt	dapat
uda	sudah
bankbank	bank-bank
sbg	sebagai
pembatalancancel	pembatalan cancel
shg	sehingga
dng	dengan
vocher	voucher
waktutiba	waktu tiba
sedikitpembayaran	sedikit pembayaran
bagustidak	bagus tidak
makinnn	makin
ttg	tentang
bgt	sangat
menghub	menghubungi
feedbcktx	feedback terimakasih
travelokatraveloka	traveloka traveloka
atauemail	atau email
tiketsudah	tiket sudah
confirmasi	konfirmasi
consumen	pengguna
fullrefund	full refund
kirimkirim	kirim
konfirmasike	konfirmasi ke
gda	tidak ada
bner	benar
komplainke	komplain ke
pesanana	pesanannya
parahhhhhhhh	parah
hangusssssssss	hangus
dilihatdicari	dilihat dicari
ajui	mengajukan
alasanny	alasannya
ap	apa
bukanny	bukannya
tf	transfer
lg	lagi
dsinisampai	di sini sampai
mslh	masalah
lbih	lebih
godbye	selamat tinggal
berape	berapa
kebangetaaaan	sangat sekali
gunain	gunakan
sajah	saja
kepakeklimit	dipakai limit
brdpt	baru dapat
br	baru
bpk	bapak
room	ruangan
sitp	tapi
abis	habis
mgkn	mungkin
hoteltp	hotel tapi
reefund	refund
pulsapaket	pulsa paket
tlpn	telepon
pylater	paylater
wa	whatsapp
smswa	sms whatsapp
kebenran	kebenaran
sebenrnya	sebenarnya
akantetapi	akan tetapi
kesaya	ke saya
kesalah	kesalahan
kesalan	kesalahan
aja	saja
htl	hotel
chek	check
bg	bagi
pemby	pembayaran
bejerjasama	bekerja sama
mk	maka
unisial	uninstall
ksh	kasih
terteraketika	tertera ketika
partnershipsejak	partnership sejak
aj	saja
apabayangkan	apa bayangkan
